,arrivals_exponential_rate,services_exponential_rate,number_of_stations,queue_size_avg,wait_time_avg,response_time_avg,end_to_end_delay_avg,drop_probabilities,queue_capacity
0,100,100;100;100,3,4.575670206660101;3.640835397777795;3.076039721257465,0.04985651240566195;0.04156553750239399;0.03614716804131468,0.0598391960634863;0.0515887756567265;0.04612672845298211,0.15939536805098137;0.0;0.0,0.08292;0.04550609583215197;0.02849439023832918,10.0
1,100,110;110;110,3,3.526663456494445;3.054571789195088;2.731644556123011,0.036921741939266124;0.03295525707244572;0.030144627072347562,0.0460263873224515;0.04207533159772881;0.039229808119497514,0.1283185327879703;0.0;0.0,0.04651;0.029608575264306092;0.022308448892683824,10.0
2,100,120;120;120,3,2.6159707285955234;2.4626044260542175;2.2907748639950216,0.026749768880351295;0.025638094886107552;0.02418771055073734,0.03504420887936408;0.03400032129217635;0.03254194219936556,0.10206053456695227;0.0;0.0,0.02298;0.017820039099683722;0.013902784725696182,10.0
3,100,130;130;130,3,1.9523297742998034;1.877330190841411;1.823708630632774,0.019874201084033087;0.01927570017915471;0.018878662824248237,0.027531734039636623;0.026972603087456856;0.02660973850504469,0.08126851471449455;0.0;0.0,0.0131;0.008592910848549946;0.008105318028966546,10.0
4,100,140;140;140,3,1.5753775255393982;1.5520405616891964;1.4951596080970795,0.015825692788835333;0.015675922390767604;0.01517294542066198,0.022945677483032792;0.02285077860291929;0.02231211494193104,0.06818235571016629;0.0;0.0,0.00672;0.005406493833375283;0.00467687074829932,10.0
5,100,150;150;150,3,1.2350571408232027;1.1972114784355397;1.1769826726198795,0.012434157448865722;0.01208763869170298;0.011915783175885146,0.019120369089451052;0.01875540135823525;0.01858041601386673,0.056484768036268;0.0;0.0,0.00362;0.0028704196232323333;0.0026272875520927702,10.0
6,100,160;160;160,3,0.988679553728113;0.9970660835530665;0.9940772709718784,0.009906762850304082;0.010009673275996044;0.009998984785222575,0.016140499359367767;0.016288108670152634;0.016269045761935014,0.04870745123459062;0.0;0.0,0.00234;0.0018544135041398528;0.0019181714102074838,10.0
7,100,170;170;170,3,0.8009961907805981;0.8028710417975303;0.7817118750809253,0.007991541450079204;0.008018296757520893;0.007813050506169487,0.013851913718286236;0.013896575988190826;0.013652691693014656,0.04140189712919505;0.0;0.0,0.00093;0.0009909314755870517;0.0007714889737192782,10.0
8,100,180;180;180,3,0.6938068102920437;0.7014422983499711;0.6885053845781411,0.006899518978185415;0.006978572965848063;0.006854336217608731,0.012470478170709285;0.01256501539855991;0.012410481043596055,0.037443607118353414;0.0;0.0,0.00072;0.00047034805756259634;0.0006107634543178974,10.0
9,100,190;190;190,3,0.5888321278614081;0.5870363174878864;0.5886053572773431,0.005865116746288552;0.005850067117114151;0.005868340583214031,0.011147918738292233;0.011080993560711896;0.011121169166223185,0.033350514319061615;0.0;0.0,0.00039;0.00030013806350921425;0.0004303270485569032,10.0
10,100,200;200;200,3,0.4986832707042621;0.48855974177030964;0.4928486716231852,0.004960591413425517;0.0048608085714494315;0.004903662182668617,0.009947070319140333;0.009850507792850696;0.009909508207813125,0.029708381738368584;0.0;0.0,0.00017;0.00017003230613816625;0.00023008743322462536,10.0
