,arrivals_exponential_rate,services_exponential_rate,queue_capacity,number_of_stations,queue_size_avg,end_to_end_delay_avg,drop_probabilities
0,100;100;100;100;100,100;100;100;100;100,500,5,401.4456830028394,67.35334082133537,0.9317418527370412
1,100;100;100;100;100,600;600;600;600;600,500,5,1.2413495229568643,0.08692606711246469,0.0
2,600;600;600;600;600,100;100;100;100;100,500,5,493.24220312267715,54.07981674020912,0.9998689351011497
3,600;600;600;600;600,600;600;600;600;600,500,5,413.12564744342325,11.235844903161857,0.9314850832226907
4,100;100;100;100;100;100,100;100;100;100;100;100,500,6,434.2666106565662,94.64175041347713,0.9636571951462345
5,100;100;100;100;100;100,600;600;600;600;600;600,500,6,18.403848233463734,1.1433762717067644,0.0
6,600;600;600;600;600;600,100;100;100;100;100;100,500,6,492.02121114257034,40.41785695723686,0.9999720874888548
7,600;600;600;600;600;600,600;600;600;600;600;600,500,6,419.2176129927461,15.622962138600277,0.9636101254530451
8,100;100;100;100;100;100;100,100;100;100;100;100;100;100,500,7,427.5300310502917,124.14431056074136,0.9805060998878207
9,100;100;100;100;100;100;100,600;600;600;600;600;600;600,500,7,113.8636321036973,8.773466065696098,0.13232533431414728
10,600;600;600;600;600;600;600,100;100;100;100;100;100;100,500,7,490.9548495436491,27.929547747747346,0.9999945118266605
11,600;600;600;600;600;600;600,600;600;600;600;600;600;600,500,7,427.75384478113693,20.68287153449727,0.9809436869306252
12,100;100;100;100;100;100;100;100,100;100;100;100;100;100;100;100,500,8,433.2274967487344,155.51128229378946,0.9899224146493814
13,100;100;100;100;100;100;100;100,600;600;600;600;600;600;600;600,500,8,134.4199179069182,13.179407333932886,0.25328529755868767
14,600;600;600;600;600;600;600;600,100;100;100;100;100;100;100;100,500,8,489.36136156125355,47.1332826040837,0.9999989087604312
15,600;600;600;600;600;600;600;600,600;600;600;600;600;600;600;600,500,8,447.4188750428474,25.75025461473339,0.9896294384834066
16,100;100;100;100;100;100;100;100;100,100;100;100;100;100;100;100;100;100,500,9,440.20750253079046,184.51704889426975,0.9943804074810069
17,100;100;100;100;100;100;100;100;100,600;600;600;600;600;600;600;600;600,500,9,181.28689024363118,21.00538373575398,0.35843385043056697
18,600;600;600;600;600;600;600;600;600,100;100;100;100;100;100;100;100;100,500,9,488.28045899703625,32.46436272682253,0.9999997365449818
19,600;600;600;600;600;600;600;600;600,600;600;600;600;600;600;600;600;600,500,9,441.5506392183899,31.54989833280833,0.994312411088543
20,100;100;100;100;100;100;100;100;100;100,100;100;100;100;100;100;100;100;100;100,500,10,448.81618267385346,223.90276415608292,0.9969554545543579
21,100;100;100;100;100;100;100;100;100;100,600;600;600;600;600;600;600;600;600;600,500,10,203.7726957412686,28.156189035334254,0.4415809864044188
22,600;600;600;600;600;600;600;600;600;600,100;100;100;100;100;100;100;100;100;100,500,10,487.32753475567154,35.09221858054133,0.9999999449043208
23,600;600;600;600;600;600;600;600;600;600,600;600;600;600;600;600;600;600;600;600,500,10,438.75265537492544,36.09918984545688,0.9968488291568294
24,100;100;100;100;100;100;100;100;100;100;100,100;100;100;100;100;100;100;100;100;100;100,500,11,451.9609216364684,259.55038098791397,0.9983780558062166
25,100;100;100;100;100;100;100;100;100;100;100,600;600;600;600;600;600;600;600;600;600;600,500,11,234.61547424542684,37.36335242155049,0.5191081781963494
26,600;600;600;600;600;600;600;600;600;600;600,100;100;100;100;100;100;100;100;100;100;100,500,11,485.6982648332272,32.90147376671001,0.9999999862947384
27,600;600;600;600;600;600;600;600;600;600;600,600;600;600;600;600;600;600;600;600;600;600,500,11,443.2025267563124,44.03414952207934,0.9983111023199943
28,100;100;100;100;100;100;100;100;100;100;100;100,100;100;100;100;100;100;100;100;100;100;100;100,500,12,449.06204728164136,302.0906531988834,0.999028759032417
